# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_canonical_start_codon	variants_effect_protein_protein_contact	variants_effect_rare_amino_acid_variant	variants_effect_sequence_feature	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
SDR42E1	ENSG00000184860	ENST00000328945	protein_coding	175	1389	2562	5475	4485	61	384	117	2	468	2562	0	0	0	396	12	12	117	7	136	8	1	830	117
SDR42E2	ENSG00000183921	ENST00000602312	protein_coding	238	1259	2493	6177	4083	0	0	117	0	2340	2493	0	0	0	0	60	60	549	0	110	8	1	889	117
SDR9C7	ENSG00000170426	ENST00000293502	protein_coding	151	1097	2049	3261	2037	66	432	117	2	702	2040	0	0	0	252	18	18	171	7	101	7	2	667	117
SDS	ENSG00000135094	ENST00000257549	protein_coding	903	3624	2133	7170	1488	51	369	3894	2	1638	2124	0	714	0	2574	42	42	387	7	90	8	1	729	117
SDSL	ENSG00000139410	ENST00000345635	protein_coding	2071	3715	2139	2943	591	95	630	117	2	1872	2112	0	1866	0	2565	48	48	441	7	94	8	1	746	117
SEC11A	ENSG00000140612	ENST00000558134	protein_coding	138	1089	1227	2217	1197	3	42	117	2	936	1218	0	0	0	576	24	24	225	7	75	8	1	363	117
SEC11C	ENSG00000166562	ENST00000587834	protein_coding	142	3681	1303	3033	453	197	1416	117	2	1170	1267	0	0	0	2943	30	30	279	7	68	7	2	384	117
SEC13	ENSG00000157020	ENST00000383801	protein_coding	277	7257	2438	9327	900	27	216	117	2	2106	2420	0	0	0	6165	54	54	495	7	154	8	1	729	6420
SEC14L1	ENSG00000129657	ENST00000392476	protein_coding	521	2465	4740	6159	714	253	1677	117	2	4446	4740	0	0	0	0	114	114	1035	7	278	8	1	1444	117
SEC14L2	ENSG00000100003	ENST00000312932	protein_coding	307	1309	2655	17856	8727	98	780	5178	2	3582	2655	0	0	0	0	66	66	603	7	161	7	2	802	117
SEC14L3	ENSG00000100012	ENST00000215812	protein_coding	832	9713	2640	4920	2376	33	273	117	2	2565	2640	0	528	0	8478	66	66	603	7	157	8	1	794	117
SEC14L4	ENSG00000133488	ENST00000255858	protein_coding	1277	10183	2678	6105	3582	26	252	117	2	2565	2678	0	984	0	8928	66	66	603	7	146	8	1	821	117
SEC14L5	ENSG00000103184	ENST00000251170	protein_coding	428	9467	4547	16128	12564	78	540	117	2	3510	4547	0	0	0	7344	90	90	819	7	233	8	1	1475	117
SEC14L6	ENSG00000214491	ENST00000402034	protein_coding	293	5825	2618	8865	6594	0	0	117	2	2565	2618	0	0	0	4617	66	66	603	7	146	8	1	800	117
SEC16A	ENSG00000148396	ENST00000313050	protein_coding	1151	6191	15313	14700	4974	32	222	3996	2	6783	15313	0	0	0	0	174	174	1575	7	788	8	1	5103	117
SEC16B	ENSG00000120341	ENST00000308284	protein_coding	736	6453	6983	7290	2136	30	270	117	2	5850	6893	0	0	0	3366	150	150	1359	7	421	8	1	2217	117
SEC22A	ENSG00000121542	ENST00000309934	protein_coding	204	1241	2011	11076	7224	435	2688	117	2	1170	2011	0	0	0	0	30	30	279	7	129	8	1	614	117
SEC22C	ENSG00000093183	ENST00000264454	protein_coding	192	6301	2006	2754	972	66	432	117	2	1404	1997	0	0	0	5382	36	36	333	7	105	8	1	616	117
SEC23A	ENSG00000100934	ENST00000307712	protein_coding	4800	9328	5068	9279	3957	209	1554	117	2	4446	5023	0	4242	0	6912	114	114	1035	7	315	8	1	1538	117
SEC23B	ENSG00000101310	ENST00000262544	protein_coding	518	2521	5042	6384	1146	230	1470	117	2	4446	5042	0	0	0	0	114	114	1035	7	276	7	2	1576	117
SEC23IP	ENSG00000107651	ENST00000369075	protein_coding	646	11680	6633	8541	4743	41	216	117	2	4212	6561	0	0	0	9018	108	108	981	7	415	8	1	2015	117
SEC24A	ENSG00000113615	ENST00000398844	protein_coding	3143	10501	7079	13377	8187	125	864	117	2	5148	7070	0	2424	0	7263	132	132	1197	7	440	8	1	2318	117
SEC24B	ENSG00000138802	ENST00000504968	protein_coding	845	9838	8418	5205	213	30	294	117	2	5616	8364	0	0	0	6219	144	144	1305	7	542	8	1	2767	117
SEC24C	ENSG00000176986	ENST00000339365	protein_coding	638	3362	7083	15219	3198	79	486	7140	2	5382	7083	0	0	0	0	138	138	1251	7	348	7	2	2406	117
SEC24D	ENSG00000150961	ENST00000379735	protein_coding	658	3044	6787	7215	2073	100	816	117	2	5148	6787	0	0	0	0	132	132	1197	7	380	7	2	2121	117
SEC31A	ENSG00000138674	ENST00000505472	protein_coding	811	3527	8187	6279	1206	0	3	117	2	6084	8187	0	0	0	0	156	156	1413	7	485	7	2	2578	117
SEC31B	ENSG00000075826	ENST00000370345	protein_coding	724	11532	7648	14223	2922	38	294	5436	2	5850	7648	0	0	0	8019	150	150	1359	7	410	7	2	2544	921
SEC61A1	ENSG00000058262	ENST00000464451	protein_coding	296	1558	3122	3546	531	92	735	117	2	2574	3122	0	0	0	0	66	66	603	7	149	8	1	1058	117
SEC61A2	ENSG00000065665	ENST00000298428	protein_coding	323	8296	3102	4608	1119	24	267	1059	2	2574	3084	0	0	0	6867	66	66	603	7	177	7	2	1014	117
SEC61B	ENSG00000106803	ENST00000223641	protein_coding	77	1654	666	7662	573	21	189	117	2	702	603	0	0	0	1350	18	18	171	7	26	8	1	226	6225
SEC61G	ENSG00000132432	ENST00000352861	protein_coding	69	314	457	1557	480	48	285	117	2	702	457	0	0	0	0	18	18	171	7	18	8	1	128	117
SEC62	ENSG00000008952	ENST00000337002	protein_coding	297	995	2668	17640	15930	15	174	117	2	1638	2668	0	0	0	0	42	42	387	7	199	7	2	715	117
SEC63	ENSG00000025796	ENST00000369002	protein_coding	640	22210	5133	16338	11844	77	540	117	2	4680	5034	0	0	0	20088	120	120	1089	7	386	7	2	1411	117
SECISBP2	ENSG00000187742	ENST00000375807	protein_coding	584	2668	5593	7722	2454	31	213	117	2	3744	5593	0	0	0	342	96	96	873	7	377	8	1	1707	1962
SECISBP2L	ENSG00000138593	ENST00000559471	protein_coding	693	2869	7322	15006	10818	96	792	117	2	3978	7277	0	0	0	45	102	102	927	7	475	7	2	2148	117
SECTM1	ENSG00000141574	ENST00000269389	protein_coding	141	3962	1613	8301	3411	142	1053	2976	2	936	1595	0	0	0	3114	24	24	225	7	78	8	1	550	117
SEH1L	ENSG00000085415	ENST00000399892	protein_coding	260	4672	2825	3924	1437	38	303	579	2	1872	2780	0	0	0	3528	48	48	441	7	150	7	2	850	117
SEL1L	ENSG00000071537	ENST00000336735	protein_coding	607	33832	5280	20574	16269	50	351	117	2	4680	5217	0	0	0	31545	120	120	1089	7	353	7	2	1567	117
SEL1L2	ENSG00000101251	ENST00000284951	protein_coding	585	2025	4546	4239	246	34	225	117	2	4446	4546	0	0	0	0	114	114	1035	7	342	8	1	1295	117
SEL1L3	ENSG00000091490	ENST00000399878	protein_coding	790	7614	7456	7857	2976	50	369	117	2	5382	7411	0	0	0	4500	138	138	1251	7	499	8	1	2269	117
SELE	ENSG00000007908	ENST00000333360	protein_coding	448	22992	4121	8724	5652	54	420	117	2	3042	4022	0	0	0	21339	78	78	711	7	278	7	2	1181	117
SELENBP1	ENSG00000143416	ENST00000426705	protein_coding	326	1567	3371	3429	714	47	435	117	2	2574	3344	0	0	0	27	66	66	603	7	179	8	1	1094	117
SELK	ENSG00000113811	ENST00000495461	protein_coding	120	426	597	6675	3444	78	600	1770	2	936	597	0	0	9	0	24	24	225	7	41	15	3	190	117
SELL	ENSG00000188404	ENST00000236147	protein_coding	312	12756	2663	5556	3351	65	483	117	2	1872	2564	0	0	0	11799	48	48	441	7	202	7	2	690	117
SELM	ENSG00000198832	ENST00000400299	protein_coding	111	518	911	3822	579	25	189	2193	2	936	911	0	0	0	0	24	24	225	7	40	16	2	336	117
SELM	ENSG00000198832	ENST00000402395	protein_coding	9	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0
SELO	ENSG00000073169	ENST00000380903	protein_coding	316	1839	4297	19953	741	20	174	12552	2	1866	4297	0	0	9	0	48	48	441	7	189	15	3	1517	5004
SELP	ENSG00000174175	ENST00000263686	protein_coding	577	2246	5454	6471	1833	9	114	1431	2	3744	5454	0	0	0	0	96	96	873	7	371	7	2	1636	117
SELPLG	ENSG00000110876	ENST00000228463	protein_coding	129	7314	2803	1671	720	91	531	117	2	234	2722	0	0	0	6237	6	6	63	7	102	8	1	1019	117
SELT	ENSG00000198843	ENST00000471696	protein_coding	166	632	1280	9807	8418	38	225	117	2	1170	1280	0	0	9	0	30	30	279	7	74	16	2	383	117
SELV	ENSG00000186838	ENST00000335426	protein_coding	157	1128	2144	3153	1689	30	300	117	2	1170	2144	0	0	9	0	30	30	279	7	65	16	2	887	117
SEMA3A	ENSG00000075213	ENST00000265362	protein_coding	518	2217	5155	20937	16782	165	945	117	2	3744	5155	0	0	0	0	96	96	873	7	311	8	1	1464	117
SEMA3C	ENSG00000075223	ENST00000544525	protein_coding	522	2162	5100	3711	78	29	237	117	2	3978	5100	0	0	0	0	102	102	927	7	304	7	2	1508	117
SEMA3D	ENSG00000153993	ENST00000284136	protein_coding	560	15972	5179	15003	11661	18	132	117	2	3744	5152	0	0	0	13914	96	96	873	7	353	8	1	1479	117
SEMA3E	ENSG00000170381	ENST00000307792	protein_coding	549	15416	5169	15654	11040	215	1404	117	2	3744	5124	0	0	0	13158	96	96	873	7	342	8	1	1500	117
SEMA3F	ENSG00000001617	ENST00000002829	protein_coding	475	16136	5128	11229	2880	157	1452	3432	2	4212	5110	0	0	0	13617	108	108	981	7	244	8	1	1702	117
SEMA3G	ENSG00000010319	ENST00000231721	protein_coding	424	15519	5054	10674	7650	0	0	117	2	3510	5036	0	0	0	13221	90	90	819	7	229	8	1	1764	117
SEMA4A	ENSG00000196189	ENST00000355014	protein_coding	419	23585	5004	5391	2241	40	312	117	2	3276	4950	0	0	0	21411	84	84	765	7	237	7	2	1653	117
SEMA4B	ENSG00000185033	ENST00000332496	protein_coding	432	2452	5436	12000	3081	79	720	5478	2	3276	5436	0	0	0	0	84	84	765	7	249	8	1	1839	117
SEMA4C	ENSG00000168758	ENST00000305476	protein_coding	462	31576	5425	6825	2730	44	399	975	2	3276	5344	0	0	0	29214	84	84	765	7	279	8	1	1865	117
SEMA4D	ENSG00000187764	ENST00000356444	protein_coding	1217	2628	5668	8943	4401	207	1341	117	2	3735	5668	0	708	0	0	96	96	873	7	302	8	1	1779	117
SEMA4F	ENSG00000135622	ENST00000357877	protein_coding	392	23769	4952	8649	5550	49	447	117	2	3042	4925	0	0	0	21492	78	78	711	7	221	8	1	1775	117
SEMA4G	ENSG00000095539	ENST00000210633	protein_coding	433	16165	5460	15933	4452	32	234	8409	2	3345	5397	0	0	0	13797	78	78	711	7	262	8	1	1919	117
SEMA5A	ENSG00000112902	ENST00000382496	protein_coding	699	34955	7175	29937	23613	292	1998	117	2	5148	7067	0	0	0	31761	132	132	1197	7	421	7	2	2169	117
SEMA5B	ENSG00000082684	ENST00000451055	protein_coding	665	20971	7870	5796	1437	1	33	117	2	5148	7834	0	0	0	17586	132	132	1197	7	386	8	1	2616	117
SEMA6A	ENSG00000092421	ENST00000257414	protein_coding	592	18287	7026	7104	2589	81	747	117	2	4446	6909	0	0	0	15453	114	114	1035	7	350	7	2	2155	117
SEMA6B	ENSG00000167680	ENST00000301293	protein_coding	395	2687	5661	12099	3039	13	114	6039	2	3510	5661	0	0	0	0	90	90	819	7	200	8	1	2122	117
SEMA6C	ENSG00000143434	ENST00000368913	protein_coding	484	17782	6133	6552	2397	42	387	117	2	4446	6106	0	0	0	14733	114	114	1035	7	242	7	2	2301	117
SEMA6D	ENSG00000137872	ENST00000316364	protein_coding	624	3038	7070	12213	7314	175	1317	117	2	4212	7070	0	0	0	0	108	108	981	7	393	8	1	2185	117
SEMA7A	ENSG00000138623	ENST00000261918	protein_coding	1615	18643	4400	8304	4005	229	1647	117	2	3042	4355	0	1224	0	16569	78	78	711	7	220	8	1	1410	117
SEMG1	ENSG00000124233	ENST00000372781	protein_coding	264	979	3070	1425	648	23	171	117	2	468	3070	0	0	0	0	12	12	117	7	226	7	2	853	117
SEMG2	ENSG00000124157	ENST00000372769	protein_coding	322	1182	3896	1512	636	30	270	117	2	468	3896	0	0	0	0	12	12	117	7	283	8	1	1050	117
SENP1	ENSG00000079387	ENST00000004980	protein_coding	503	2100	4263	14094	7272	218	1437	117	2	3978	4263	0	0	0	0	102	102	927	7	284	8	1	1240	2106
SENP2	ENSG00000163904	ENST00000296257	protein_coding	1696	7398	3906	15051	11121	118	720	117	2	3744	3879	0	1224	0	5571	96	96	873	7	265	8	1	1148	117
SENP3	ENSG00000161956	ENST00000429205	protein_coding	355	5329	3797	13728	1344	19	147	2877	2	2457	3734	0	0	0	3711	69	69	621	7	205	8	1	1218	7434
SENP5	ENSG00000119231	ENST00000323460	protein_coding	453	4703	5086	20721	11373	99	747	6810	2	2106	5059	0	0	0	2880	54	54	495	7	330	8	1	1397	117
SENP6	ENSG00000112701	ENST00000370014	protein_coding	799	3154	7432	14430	8061	255	1857	117	2	5382	7432	0	0	0	0	138	138	1251	7	508	8	1	2059	117
SENP7	ENSG00000138468	ENST00000394095	protein_coding	804	9357	6973	11922	5214	19	162	2151	2	5382	6919	0	0	0	6543	138	138	1251	7	513	8	1	2009	117
SENP8	ENSG00000166192	ENST00000340912	protein_coding	1096	555	1424	4611	2103	99	648	117	2	234	1424	0	984	0	0	6	6	63	7	85	8	1	390	1557
SEP15	ENSG00000183291	ENST00000331835	protein_coding	148	606	1043	6537	3075	120	789	117	2	936	1043	0	0	9	0	24	24	225	7	69	15	3	328	1812
SEPHS1	ENSG00000086475	ENST00000327347	protein_coding	2037	4207	2621	8004	5154	126	1128	117	2	1872	2594	0	1812	0	2979	48	48	441	7	115	7	2	810	117
SEPHS2	ENSG00000179918	ENST00000478753	protein_coding	190	1280	3107	3531	1935	203	1362	117	2	0	3107	0	0	9	0	0	0	9	7	150	24	3	1063	117
SEPN1	ENSG00000162430	ENST00000361547	protein_coding	356	1737	3840	17790	7512	20	165	7764	2	2808	3840	0	0	9	0	72	72	657	7	172	24	3	1271	117
SEPN1	ENSG00000162430	ENST00000374315	protein_coding	9	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0
SEPP1	ENSG00000250722	ENST00000506577	protein_coding	311	1131	2439	9759	1767	224	1407	2637	2	4023	2439	0	0	0	0	24	24	225	7	169	87	12	722	117
SEPP1	ENSG00000250722	ENST00000514985	protein_coding	9	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0
SEPSECS	ENSG00000109618	ENST00000382103	protein_coding	2180	6153	3289	14064	11751	42	219	117	2	2340	3280	0	1848	0	4725	60	60	549	7	197	8	1	1023	117
SEPT1	ENSG00000180096	ENST00000321367	protein_coding	289	1275	2722	6303	903	14	138	3099	2	2574	2722	0	0	0	0	66	66	603	7	142	8	1	853	117
SEPT1	ENSG00000270466	ENST00000605106	protein_coding	261	1132	2444	6729	0	0	0	4002	2	2340	2444	0	0	0	0	60	60	549	7	126	8	1	769	867
SEPT10	ENSG00000186522	ENST00000356688	protein_coding	383	1513	3654	20841	3420	108	948	117	2	2574	3654	0	0	0	0	66	66	603	7	236	8	1	997	14310
SEPT11	ENSG00000138758	ENST00000510515	protein_coding	329	6419	2965	3978	927	95	771	117	2	2574	2965	0	0	0	5085	66	66	603	7	183	7	2	794	117
SEPT12	ENSG00000140623	ENST00000268231	protein_coding	224	5957	2360	3084	384	108	792	117	2	2106	2360	0	0	0	4743	54	54	495	7	101	8	1	752	117
SEPT14	ENSG00000154997	ENST00000388975	protein_coding	322	6138	2902	9366	7107	56	351	117	2	2106	2902	0	0	0	4950	54	54	495	7	200	7	2	777	117
SEPT2	ENSG00000168385	ENST00000401990	protein_coding	350	4588	2557	6672	516	202	1338	789	2	3744	2467	0	0	0	3078	96	96	873	7	144	7	2	719	1053
SEPT3	ENSG00000100167	ENST00000396426	protein_coding	664	8999	2408	7134	3762	77	765	630	2	2340	2390	0	408	0	7866	60	60	549	7	121	8	1	702	117
SEPT4	ENSG00000108387	ENST00000457347	protein_coding	319	6570	3290	11094	504	72	435	969	2	2808	3263	0	0	0	5076	72	72	657	7	161	7	2	1004	6954
SEPT5	ENSG00000184702	ENST00000383045	protein_coding	262	1226	2524	8574	435	112	918	5244	2	2340	2524	0	0	0	0	60	60	549	7	127	8	1	742	117
SEPT6	ENSG00000125354	ENST00000394617	protein_coding	291	1252	3040	2946	882	20	156	117	2	2106	3040	0	0	0	0	54	54	495	7	169	7	2	895	117
SEPT7	ENSG00000122545	ENST00000399034	protein_coding	381	1330	2943	6267	3036	70	579	117	2	3042	2943	0	0	0	0	78	78	711	7	211	7	2	779	117
SEPT8	ENSG00000164402	ENST00000378719	protein_coding	294	6646	3283	13149	3597	89	714	2871	2	6282	3247	0	0	0	5337	54	54	495	7	171	8	1	920	117
SEPT9	ENSG00000184640	ENST00000427177	protein_coding	322	6437	4133	8460	5802	41	378	117	2	2574	3854	0	0	0	5031	66	66	603	7	175	8	1	1236	117
SEPW1	ENSG00000178980	ENST00000509570	protein_coding	125	507	564	3192	1239	80	603	117	2	1404	564	0	0	0	0	36	36	333	7	39	7	2	180	117
SEPW1	ENSG00000178980	ENST00000601048	protein_coding	9	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0
SERAC1	ENSG00000122335	ENST00000367104	protein_coding	488	2390	4289	9966	5553	42	396	117	2	3744	4289	0	0	0	441	96	96	873	7	282	7	2	1306	924
SERBP1	ENSG00000142864	ENST00000370995	protein_coding	263	1135	2899	8301	6507	37	258	117	2	1638	2665	0	0	0	234	42	42	387	7	165	7	2	833	117
SERF1A	ENSG00000172058	ENST00000354833	protein_coding	83	375	725	5274	4119	79	549	117	2	468	725	0	0	0	0	12	12	117	7	44	8	1	212	117
SERF1B	ENSG00000205572	ENST00000380750	protein_coding	83	375	725	5274	4119	79	549	117	2	468	725	0	0	0	0	12	12	117	7	44	8	1	212	117
SERF2	ENSG00000140264	ENST00000594896	protein_coding	131	627	1123	22371	0	39	345	4038	2	18111	1123	0	0	0	0	30	30	279	7	56	8	1	387	117
SERGEF	ENSG00000129158	ENST00000265965	protein_coding	332	7214	2951	2661	111	45	456	117	2	2340	2951	0	0	0	5832	60	60	549	7	197	8	1	965	117
SERHL2	ENSG00000183569	ENST00000327678	protein_coding	258	1092	2069	3567	981	38	306	117	2	2574	2069	0	0	0	9	66	66	603	7	111	8	1	637	117
SERINC1	ENSG00000111897	ENST00000339697	protein_coding	315	7458	3040	7233	5070	40	255	117	2	2106	2968	0	0	0	6246	54	54	495	7	192	8	1	908	117
SERINC2	ENSG00000168528	ENST00000373710	protein_coding	276	4803	3055	5190	1434	118	819	117	2	3183	3055	0	0	0	3342	60	60	549	7	141	8	1	971	117
SERINC3	ENSG00000132824	ENST00000255175	protein_coding	300	1415	3112	13263	510	54	402	10374	2	2340	3112	0	0	0	0	60	60	549	7	165	8	1	971	117
SERINC4	ENSG00000184716	ENST00000319327	protein_coding	318	7374	3355	18210	2514	103	705	1032	2	8817	3355	0	0	0	5736	66	66	603	7	172	7	2	1126	5670
SERINC5	ENSG00000164300	ENST00000512721	protein_coding	341	1398	3018	2871	120	62	471	117	2	2574	3018	0	0	0	0	66	66	603	7	194	8	1	928	117
SERP1	ENSG00000120742	ENST00000491660	protein_coding	57	336	510	2844	687	135	1092	117	2	234	510	0	0	0	0	6	6	63	7	30	8	1	153	762
SERPINA1	ENSG00000197249	ENST00000355814	protein_coding	189	1127	2783	6915	5106	109	831	117	2	936	2783	0	0	0	0	24	24	225	7	127	7	2	843	117
SERPINA10	ENSG00000140093	ENST00000554723	protein_coding	234	1302	3212	7776	1956	182	1257	3702	2	936	3212	0	0	0	0	24	24	225	7	172	7	2	963	117
SERPINA11	ENSG00000186910	ENST00000334708	protein_coding	207	1277	2787	1599	426	38	195	117	2	936	2751	0	0	0	207	24	24	225	7	145	7	2	893	117
SERPINA12	ENSG00000165953	ENST00000341228	protein_coding	1100	1365	2764	3612	60	321	2388	117	2	1170	2764	0	888	0	0	30	30	279	7	138	7	2	815	117
SERPINA3	ENSG00000196136	ENST00000393078	protein_coding	189	1065	2809	1929	714	28	237	117	2	936	2809	0	0	0	0	24	24	225	7	126	8	1	863	117
SERPINA4	ENSG00000100665	ENST00000298841	protein_coding	190	1336	2867	2478	825	88	675	117	2	936	2831	0	0	0	234	24	24	225	7	127	8	1	876	117
SERPINA5	ENSG00000188488	ENST00000329597	protein_coding	186	1132	2714	4437	2643	84	630	117	2	1170	2714	0	0	0	0	30	30	279	7	111	8	1	820	117
SERPINA6	ENSG00000170099	ENST00000341584	protein_coding	188	4610	2744	1926	507	51	441	117	2	936	2690	0	0	0	3618	24	24	225	7	126	7	2	820	117
SERPINA7	ENSG00000123561	ENST00000327674	protein_coding	195	1102	2757	2682	882	157	1008	117	2	702	2757	0	0	0	0	18	18	171	7	144	8	1	825	117
SERPINA9	ENSG00000170054	ENST00000337425	protein_coding	197	1079	2890	2319	1116	23	225	117	2	936	2872	0	0	0	18	24	24	225	7	134	8	1	900	117
SERPINB1	ENSG00000021355	ENST00000380739	protein_coding	1129	4496	2587	5787	3828	85	609	117	2	1404	2524	0	900	0	3492	36	36	333	7	142	8	1	736	117
SERPINB10	ENSG00000242550	ENST00000238508	protein_coding	256	1037	2675	7227	2607	23	177	117	2	1728	2675	0	0	0	0	42	42	387	7	158	7	2	731	2934
SERPINB12	ENSG00000166634	ENST00000382768	protein_coding	245	1038	2857	1350	0	0	0	117	2	1404	2857	0	0	0	18	36	36	333	7	159	7	2	800	117
SERPINB13	ENSG00000197641	ENST00000344731	protein_coding	236	1075	2635	7350	5508	37	306	117	2	1638	2635	0	0	0	18	42	42	387	7	138	7	2	737	117
SERPINB2	ENSG00000197632	ENST00000299502	protein_coding	2123	9581	2803	3915	1755	20	240	501	2	1638	2767	0	1866	0	8514	42	42	387	7	159	7	2	800	117
SERPINB3	ENSG00000057149	ENST00000283752	protein_coding	1942	4426	2616	3348	1380	44	432	117	2	1638	2607	0	1674	0	3384	42	42	387	7	169	8	1	725	117
SERPINB4	ENSG00000206073	ENST00000341074	protein_coding	270	1048	2629	3264	1380	38	348	117	2	1638	2620	0	0	0	27	42	42	387	7	171	8	1	710	117
SERPINB5	ENSG00000206075	ENST00000382771	protein_coding	1819	4942	2554	6315	4089	141	876	117	2	1404	2509	0	1596	0	3879	36	36	333	7	137	7	2	720	117
SERPINB6	ENSG00000124570	ENST00000335686	protein_coding	216	1095	2530	2769	417	133	1002	117	2	1404	2530	0	0	0	0	36	36	333	7	129	8	1	716	117
SERPINB7	ENSG00000166396	ENST00000336429	protein_coding	241	1057	2538	4026	2202	44	288	117	2	1638	2538	0	0	0	0	42	42	387	7	142	8	1	731	117
SERPINB8	ENSG00000166401	ENST00000353706	protein_coding	242	1029	2502	8136	6279	65	507	117	2	1404	2502	0	0	0	18	36	36	333	7	156	7	2	699	117
SERPINB9	ENSG00000170542	ENST00000380698	protein_coding	224	1052	2495	10311	8691	36	270	117	2	1404	2486	0	0	0	27	36	36	333	7	138	7	2	751	117
SERPINC1	ENSG00000117601	ENST00000367698	protein_coding	252	9869	3130	16287	240	48	357	14457	2	1404	3067	0	0	0	8721	36	36	333	7	166	7	2	934	117
SERPIND1	ENSG00000099937	ENST00000215727	protein_coding	214	1267	3359	3789	1962	121	849	117	2	936	3359	0	0	0	0	24	24	225	7	151	8	1	972	117
SERPINE1	ENSG00000106366	ENST00000223095	protein_coding	975	5246	2682	7665	5472	53	471	117	2	1872	2655	0	750	0	4068	48	48	441	7	114	8	1	840	117
SERPINE2	ENSG00000135919	ENST00000447280	protein_coding	230	4858	2723	3180	555	128	903	117	2	1872	2705	0	0	0	3600	48	48	441	7	119	8	1	848	117
SERPINE3	ENSG00000253309	ENST00000521255	protein_coding	217	1337	2797	3933	312	22	180	2208	2	1404	2788	0	0	0	207	36	36	333	7	130	8	1	889	117
SERPINF1	ENSG00000132386	ENST00000254722	protein_coding	224	4617	2777	8508	384	82	489	6216	2	1638	2732	0	0	0	3402	42	42	387	7	126	7	2	895	117
SERPINF2	ENSG00000167711	ENST00000324015	protein_coding	256	1446	3219	6720	2193	34	231	117	2	2106	3219	0	0	0	0	54	54	495	7	133	8	1	1058	2505
SERPING1	ENSG00000149131	ENST00000403558	protein_coding	229	1540	3558	3147	699	134	1098	117	2	1404	3558	0	0	0	0	36	36	333	7	142	8	1	1178	117
SERPINH1	ENSG00000149257	ENST00000358171	protein_coding	191	1427	2835	3882	2100	103	804	117	2	936	2736	0	0	0	360	24	24	225	7	128	8	1	889	117
SERPINI1	ENSG00000163536	ENST00000295777	protein_coding	2242	1278	2756	5118	729	186	1293	117	2	1872	2756	0	1980	0	0	48	48	441	7	152	7	2	773	1491
SERPINI2	ENSG00000114204	ENST00000264677	protein_coding	296	1094	2689	3516	522	14	114	117	2	1872	2689	0	0	0	0	48	48	441	7	185	8	1	762	1275
SERTAD1	ENSG00000197019	ENST00000357949	protein_coding	85	1107	1510	4629	3732	71	477	117	2	234	1510	0	0	0	432	6	6	63	7	58	8	1	547	117
SERTAD2	ENSG00000179833	ENST00000313349	protein_coding	117	2027	2060	14232	12918	115	894	117	2	234	2060	0	0	0	1179	6	6	63	7	91	7	2	666	117
SERTAD3	ENSG00000167565	ENST00000322354	protein_coding	81	700	1270	4857	1938	203	1491	117	2	234	1270	0	0	0	0	6	6	63	7	55	7	2	430	1125
SERTAD4	ENSG00000082497	ENST00000367012	protein_coding	205	1604	2341	13236	11754	73	690	117	2	702	2341	0	0	0	693	18	18	171	7	154	8	1	700	117
SERTM1	ENSG00000180440	ENST00000315190	protein_coding	66	725	674	9069	7311	184	1338	117	2	234	674	0	0	0	234	6	6	63	7	39	8	1	241	117
SESN1	ENSG00000080546	ENST00000436639	protein_coding	363	1693	3709	7842	3321	329	2238	117	2	2106	3682	0	0	0	27	54	54	495	7	240	8	1	1028	492
SESN2	ENSG00000130766	ENST00000253063	protein_coding	282	1471	3142	7938	5067	107	963	117	2	2106	3124	0	0	0	18	54	54	495	7	159	8	1	1028	117
SESN3	ENSG00000149212	ENST00000536441	protein_coding	324	1441	3274	26064	23145	152	1011	117	2	2106	3265	0	0	0	9	54	54	495	7	201	8	1	953	117
SESTD1	ENSG00000187231	ENST00000428443	protein_coding	559	8918	4582	28968	24621	103	951	117	2	3978	4582	0	0	0	6840	102	102	927	7	341	7	2	1332	117
SET	ENSG00000119335	ENST00000372692	protein_coding	243	6791	2053	7467	5208	111	723	117	2	1638	1954	0	0	0	6012	42	42	387	7	145	7	2	502	117
SETBP1	ENSG00000152217	ENST00000282030	protein_coding	623	4379	10565	16488	14436	135	888	117	2	1170	10556	0	0	0	792	30	30	279	7	548	8	1	3251	117
SETD1A	ENSG00000099381	ENST00000262519	protein_coding	874	17553	11035	26211	3279	275	2058	11916	2	4209	10981	0	84	0	12840	108	108	981	7	559	8	1	3814	5613
